-31.37 , -54.02 , 25.15 , 0
-26.49 , -120.06 , -27.40 , 1
15.01 , -74.77 , -19.29 , 2
64.39 , -176.70 , -2.56 , 3
9.52 , -103.45 , 18.68 , 4
66.53 , 55.79 , 2.01 , 5
204.47 , 96.19 , -59.94 , 6
53.89 , 74.95 , -16.72 , 7
-89.48 , 121.09 , 44.25 , 8
36.44 , 245.91 , -25.57 , 9
46.57 , 165.47 , -56.46 , 10
140.32 , 72.51 , 0.06 , 11
21.12 , -82.34 , -45.90 , 12
3.85 , 48.83 , -4.27 , 13
23.56 , -35.52 , -5.19 , 14
28.81 , -32.23 , -6.23 , 15
-28.99 , -14.83 , -51.94 , 16
-30.82 , 45.17 , 32.65 , 17
117.25 , -12.51 , 2.50 , 18
154.91 , -11.17 , 50.60 , 19
18.62 , 129.09 , 71.96 , 20
-79.10 , 90.21 , 89.42 , 21
-19.96 , 82.89 , 54.32 , 22
-41.63 , -26.79 , 23.68 , 23
3.48 , -9.95 , 14.59 , 24
4.03 , 9.34 , 35.16 , 25
-24.66 , 32.78 , 56.76 , 26
12.76 , 13.37 , 10.56 , 27
-17.09 , 12.94 , 8.18 , 28
-9.40 , 1.95 , 7.87 , 29
-6.84 , -10.93 , 10.01 , 30
-0.73 , -8.42 , 9.09 , 31
-10.99 , -49.07 , -3.72 , 32
8.91 , -152.89 , -6.90 , 33
-32.47 , -54.14 , -35.10 , 34
-26.55 , 20.08 , -16.30 , 35
-31.80 , -85.82 , -45.96 , 36
56.21 , 39.61 , 57.68 , 37
-56.40 , 12.08 , 60.12 , 38
-54.44 , 8.06 , 52.49 , 39
155.33 , -253.17 , 126.77 , 40
1027.16 , -1209.84 , -180.79 , 41
1474.55 , -219.60 , -785.52 , 42
590.45 , 1460.02 , -353.76 , 43
7.02 , 1474.49 , 280.94 , 44
413.51 , 1195.62 , 851.38 , 45
125.55 , 34.79 , -211.61 , 46
-130.74 , -101.50 , -113.59 , 47
-43.70 , -28.93 , -12.45 , 48
10.07 , -33.33 , 28.69 , 49
62.81 , -80.81 , 195.80 , 50
-249.33 , -152.59 , 246.15 , 51
-1167.48 , 465.64 , 285.03 , 52
-1064.88 , 585.75 , -259.77 , 53
-1004.09 , -267.46 , -771.61 , 54
-513.12 , -1017.58 , -449.89 , 55
-564.94 , -1071.04 , 106.87 , 56
-384.83 , -634.77 , 277.89 , 57
83.31 , 14.71 , -141.17 , 58
